,Title,published_date,Views,Likes,FavoriteCount,comments,Month
198,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,81424,1767,0,277,Apr
199,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,129677,3509,0,620,Apr
200,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,199292,5060,0,175,Apr
201,When Data Science Goes Wrong,2020-03-30,1809,106,0,32,Mar
202,How to ULTRALEARN Data Science,2020-03-27,61968,3823,0,169,Mar
203,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4441,268,0,50,Mar
204,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,13126,469,0,45,Mar
205,The Secret Data Scientists Don't Want You to Know,2020-03-16,10773,1138,0,103,Mar
206,The 5 Stages of Learning Data Science,2020-03-13,17535,1294,0,78,Mar
207,Can You Learn Data Science Without a Computer?,2020-03-11,1734,118,0,14,Mar
208,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,347318,21220,0,620,Mar
209,The Data Science Projects that Got Me a Job,2020-03-06,41056,1400,0,41,Mar
210,How to Integrate Data Science into Your Business,2020-03-02,3382,129,0,18,Mar
211,The Problem with Data Science,2020-02-28,3798,154,0,19,Feb
212,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1176,46,0,16,Feb
213,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,130238,2485,0,97,Feb
214,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,328606,17827,0,526,Feb
215,Data Science Advice for College Students,2020-02-14,68965,1963,0,197,Feb
216,Avoid These Data Science Resume Mistakes!,2020-02-10,28511,1247,0,62,Feb
217,Data Science Explained with ... Cooking?,2020-02-07,5332,315,0,48,Feb
218,The 4 Types of Sports Analytics Projects,2020-02-03,31672,1034,0,62,Feb
219,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,588,18,0,13,Jan
220,How I Learned Data Science,2020-01-27,94158,2695,0,210,Jan
221,What is Sports Analytics Really?,2020-01-20,21500,616,0,73,Jan
222,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,111520,3140,0,575,Jan
223,How To Learn Programming for Data Science [3 Steps],2020-01-13,30122,1981,0,96,Jan
224,Data Science Fundamentals: SQL Queries,2020-01-10,6578,215,0,35,Jan
225,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3157,152,0,14,Jan
226,The 9 Books That Changed My Perspective in 2019,2020-01-03,3395,180,0,25,Jan
227,The Data Science Interview: What to Expect,2019-12-30,8596,380,0,32,Dec
228,5 Data Science Resolutions for 2020,2019-12-27,475,25,0,12,Dec
229,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,17046,601,0,93,Dec
230,Collision Course: Sports Betting + Data Science,2019-12-20,18447,507,0,27,Dec
231,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100975,2933,0,204,Dec
232,5 Sports Analytics Books to Get You Started,2019-12-13,11032,417,0,59,Dec
233,Math Needed for Mastering Data Science,2019-12-09,57339,2895,0,222,Dec
234,The 5 Stages of Data Science Adoption,2019-12-06,1330,69,0,17,Dec
235,How YOU Can Land a Sports Analytics Job,2019-12-02,70175,3099,0,231,Dec
236,Data Science Fundamentals: Linear Regression,2019-11-29,6405,172,0,42,Nov
237,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1116,54,0,12,Nov
238,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,6241,274,0,26,Nov
239,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46324,1762,0,80,Nov
240,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5950,137,0,31,Nov
241,Why Selling Is An Important Data Science Skill,2019-11-04,1633,81,0,13,Nov
242,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2864,73,0,18,Oct
243,Why is Balance Important in Data Science?,2019-10-16,707,32,0,13,Oct
244,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11948,584,0,54,Sep
245,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3925,116,0,34,Sep
246,6 Habits of Successful Data Scientists,2019-09-13,2240,95,0,17,Sep
247,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4729,104,0,9,Sep
248,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,522,24,0,29,Aug
249,Is Data Science Right For You?,2019-08-18,51189,1182,0,109,Aug
250,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,14980,393,0,55,Aug
251,How To Get Data Science Experience (Without a Job),2019-08-08,29610,1389,0,74,Aug
252,Take Your Data Science Projects From Good to Great,2019-08-05,1623,108,0,11,Aug
253,The Projects You Should Do To Get A Data Science Job,2019-07-30,151569,5721,0,255,Jul
254,What Does a Data Scientist Actually Do?,2019-07-19,46748,1281,0,81,Jul
255,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,13052,352,0,43,Jul
256,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,18046,531,0,61,Jul
257,Data Science: Pros and Cons,2019-06-30,5318,219,0,18,Jun
258,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,25132,1206,0,89,Jun
259,My Top 5 Data Science Internship Tips,2019-06-15,11976,497,0,23,Jun
260,Golf STATS: Strokes Gained Explained,2019-06-07,7597,158,0,29,Jun
261,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,619,45,0,5,May
262,What I Learned From My Three Degrees,2019-05-17,1273,61,0,12,May
263,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25681,1071,0,66,May
264,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1256,40,0,2,May
265,Should You Learn R for Data Science?,2019-04-25,21367,569,0,71,Apr
266,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46489,856,0,331,Apr
267,Work From Home Data Scientist: Day in the Life,2019-04-12,28123,759,0,101,Apr
268,Where to Look for Data Science Jobs,2019-03-29,3017,120,0,9,Mar
269,Data Science: Startup vs. Large Corporation,2019-03-21,2199,75,0,4,Mar
270,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6196,175,0,26,Mar
271,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4220,180,0,15,Mar
272,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,814,33,0,12,Mar
273,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1445,36,0,8,Mar
274,Where YOU Should Start With Data Science Projects,2019-02-19,17231,353,0,17,Feb
275,Watch This Before Applying to Data Science Jobs,2019-02-04,1504,65,0,13,Feb
276,My Top 5 Data Science Resources for 2019,2019-01-05,3716,122,0,17,Jan
277,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,839,36,0,6,Dec
278,The Best Way to Predict NBA Minutes Played,2018-12-11,4458,110,0,14,Dec
279,Demystifying Data Science Roles,2018-11-30,1142,54,0,5,Nov
280,How to Simulate NBA Games in Python,2018-11-19,17900,396,0,54,Nov
281,Should You Get A Masters in Data Science?,2018-11-14,20627,305,0,135,Nov
282,How I Became A Data Scientist From a Business Background,2018-11-12,6487,197,0,23,Nov
283,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8806,192,0,17,Jul
284,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,19042,294,0,41,Nov
